Año,Mes.n,UID_ENTRADA_CAMION.x,UID_PRODUCTOR.x,ENT_PESO_NETO.x,UID_PROVEEDOR.x,DLI_HUMEDAD.x,DLI_CENIZAS.x,DLI_CENIZASMASHUMEDAD.x,DLI_KILOCALORIAS.x,DLI_PESO_A_PAGAR.x,DLI_MEGACALORIAS.x,DLI_VALOR_TOTAL.x,DLI_REGALIAS.x,DLI_PRECIO_BASE.x,dia.x,ID,Lider.Generacion,Interventoria,Viajes,Kilos,Contratado,Pagado,ONI,IPC,Variacion.Mensual....,Produccion.nacional,Minería,Industria,Oferta.Interna,Minería.1,Industria.1,Producidos.para.Consumo.Interno,Importados,Exportados,Miles.de.Dólares.FOB,Toneladas.Métricas,Miles.de.Dólares.FOB.1,Toneladas.Métricas.1,Miles.de.Dólares.FOB.2,Toneladas.Métricas.2,Unión.Europea,Canadá..NAFTA.,Estados.Unidos..NAFTA.,México..NAFTA.,China,Japón,India,LIBOR,Promedio.mes
2008,10,203.5,199.5,16395,125,6.43,16.84,23.27,5964.58,16.15805,95079.84,1056442.7,51677.04,70000,4,10,ARC,JHA,4812,102030020,405257410,7935515733,0.4,102.2218,-0.0005603,85.57,78.59,88.17,89.7,95.29,91.09,88.92,93.18,76.52,435527,5447194,910629.9,1941299,53647.6661,14253.279,377491.7,31785.57,1181298,38583.97,53681.86,28750.38,5915.3538,0.016780147,2090.04
2008,10,293.5306,257.102,14574.49,124.9388,10.128571,20.47898,30.60755,5380.55898,13.621778,73217.79,813531,45938.79,70000,8,10,ARC,JHA,4812,102030020,405257410,7935515733,0.4,102.2218,-0.0005603,85.57,78.59,88.17,89.7,95.29,91.09,88.92,93.18,76.52,435527,5447194,910629.9,1941299,53647.6661,14253.279,377491.7,31785.57,1181298,38583.97,53681.86,28750.38,5915.3538,0.016780147,2090.04
2008,10,302.5814,245.3488,17289.77,121.2093,9.389302,17.860465,27.24977,5624.254419,16.737198,93088.32,1034314.7,54497.35,70000,9,10,ARC,JHA,4812,102030020,405257410,7935515733,0.4,102.2218,-0.0005603,85.57,78.59,88.17,89.7,95.29,91.09,88.92,93.18,76.52,435527,5447194,910629.9,1941299,53647.6661,14253.279,377491.7,31785.57,1181298,38583.97,53681.86,28750.38,5915.3538,0.016780147,2090.04
2008,10,254,214.8889,13401.85,126.6667,8.612222,19.631481,28.2437,5585.264815,12.444685,69824.52,775828,42242.64,70000,7,10,ARC,JHA,4812,102030020,405257410,7935515733,0.4,102.2218,-0.0005603,85.57,78.59,88.17,89.7,95.29,91.09,88.92,93.18,76.52,435527,5447194,910629.9,1941299,53647.6661,14253.279,377491.7,31785.57,1181298,38583.97,53681.86,28750.38,5915.3538,0.016780147,2090.04
2008,10,364.0556,193.1389,14133.61,127.25,10.858333,15.927778,26.78611,5588.216944,13.722703,75797.64,842196,44549.14,70000,17,10,ARC,JHA,4812,102030020,405257410,7935515733,0.4,102.2218,-0.0005603,85.57,78.59,88.17,89.7,95.29,91.09,88.92,93.18,76.52,435527,5447194,910629.9,1941299,53647.6661,14253.279,377491.7,31785.57,1181298,38583.97,53681.86,28750.38,5915.3538,0.016780147,2090.04
2008,11,1239.04,206.6,15753.5,119.49,8.6998,15.2119,23.9117,5846.4398,15.504503,91850.52,1012503.6,49655.03,69499.5,20,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1509.75,219,16611.88,116.625,7.245,21.053125,28.29812,5676.172188,15.918834,88933.66,963917.8,52360.63,68720.31,7,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1736.3929,232.2857,17158.93,112.8571,8.571071,22.530357,31.10143,5469.375714,16.233089,87563.18,935643.1,54084.94,67725,10,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1541.8571,202.449,14275.71,117.9388,9.596939,19.944082,29.54102,5481.001224,13.680671,74608.42,813954.2,44997.05,68978.57,11,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
2008,11,1515.6226,187.0189,13713.4,117.717,9.53,18.371509,27.90151,5591.237736,13.255851,73796.37,808873.7,43224.62,69227.36,12,11,ARC,JHA,5619,124542200,479537785,9774378727,0.5,102.1821,-0.00038886,86.14,81.41,88.4,89.43,92.08,91.01,88.69,92.73,79.23,475026.8,6014399,920545,2153098,54641.5712,13020.943,432450.7,25298.86,1147124.9,41684.06,107624.96,26463.58,76048.7967,0.014998868,2052.68
